Za koga;Vprašanje in zahtevani dokaz
Komunala in NLZOH;Katere izvorne letne tabele obstajajo za 1996–2010? Predložiti števce, imenovalce, odvzemna mesta in metode.
Komunala;Kako so odpravljena neskladja odstotkov v tabelah 2023–2024? Objaviti popravljeno različico z revizijsko sledjo.
Komunala in NLZOH;Kaj je bil ugotovljeni vzrok parazitov v Adlešičih 2025? Predložiti zapisnik preiskave in rezultate kontrol.
Komunala;Kdaj in komu je bilo ob dogodku izdano obvestilo ter kdaj preklicano? Predložiti časovnico z besedili in območjem veljavnosti.
Komunala in zdravstveni inšpektorat;Katere zahteve za pripravo vode so bile preverjene po dogodku? Predložiti odločitve, izvedene ukrepe in meritve.
Komunala;Koliko meritev na končnih krakih ostaja pod priporočilom razkužila? Objaviti lokacije po območjih, število meritev in mesečni delež.
Občina in upravljavec;Kdaj je bila prevzeta nadgradnja Grič, 2022 ali 2023? Predložiti prevzemni zapisnik in opis faz.
Občina in pristojni organi za vode;Kako se nadzorujejo vodovarstvena območja? Predložiti načrt, izvedene preglede in ukrepe.
Komunala in občina;Kakšna je varnost gospodinjstev zunaj javnega sistema? Predložiti agregiran popis sistemov in režim nadzora brez osebnih podatkov.
ARSO;Katere meritve Dobličice so primerne za presojo reke, zajetja in podzemne vode? Predložiti šifre mest, obdobja, parametre in meje določanja.
ARSO;Ali obstajajo lokalne meritve zraka pred 2024? Predložiti arhiv postaj, trajanje meritev in validirane nize.
ARSO;Kako selitev ZD–Loka vpliva na primerljivost 2024–2025? Predložiti metapodatke, izplen in morebitne vzporedne meritve.
ARSO;Kakšen je potrjen letni benzo(a)piren 2025? Predložiti agregat, pravilo za LOQ in pojasnilo podvojene vrstice 6. avgusta.
ARSO;Kako je bilo določenih pet naravnih preseganj v 2024? Predložiti datume in izračun prispevka.
Občina in ARSO;Katera naselja so z merilno postajo slabo predstavljena? Predložiti načrt dodatnih zimskih meritev.
Občina;Kolikšen delež kurišč je zastarel in kateri ukrepi so izvedljivi? Predložiti anonimiziran popis in stroške variant.
Občina in Eko sklad;"Kako bodo lahko ukrepali energetsko revni? Predložiti pogoje dostopa, pomoč pri prijavi in spremljanje zavrnjenih vlog; ne domnevamo odprtega razpisa."
Šole in ZD;Ali obstaja protokol aktivnosti ob epizodah delcev? Predložiti protokol, odgovorne osebe in evidenco obveščanja.
Občina in upravljavci cest;Kje se prekrivata prometna izpostavljenost in pot otrok? Predložiti prometne podatke in meritve, ne samo ocene.
NIJZ;Kako spremljati zdravstvene izide brez pripisovanja občinskih nihanj enemu viru? Predložiti načrt s primerjalnimi območji in starostno standardizacijo.
SURS in občina;Kateri podatki opisujejo dohodke prebivalcev in ne samo delovnih mest? Predložiti definicije, leta in agregate gospodinjstev.
Občina in CSD;Katere skupine imajo težave s prevozom, ogrevanjem in prehrano? Predložiti anonimizirano oceno potreb in pokritosti pomoči.
CKZ;Ali je stres lokalno izmerjen z veljavno lestvico? Predložiti vzorčenje, odzivnost in rezultate po skupinah brez razkrivanja oseb.
Delodajalci;Kako merijo delovne obremenitve in dostop do preventivnih ukrepov? Predložiti agregirane rezultate in načrt sprememb.
Občina in kmetijska svetovalna služba;Koliko gospodinjstev dejansko prideluje hrano zase? Predložiti način ocene, površine in deleže po naseljih.
Občina;Ali imajo do vrta dostop najemniki in gospodinjstva brez zemlje? Predložiti evidenco potreb ter pregleden način dodelitve.
CKZ in šole;Ali program vrtnarjenja spreminja prehrano in gibanje po 6 in 12 mesecih? Predložiti meritve pred in po ter podatke o osipu.
Kmetijska svetovalna služba in NIJZ;Kako zagotoviti varno vodo, tla in uporabo sredstev na vrtovih? Predložiti program podpore ter merila za ciljno vzorčenje.
Občina in društva;Kako vključiti starejše, gibalno ovirane in ljudi brez prevoza? Predložiti prilagoditve, dostopnost in strošek na udeleženca.
Občinski svet;Kako se bodo predlogi primerjali z drugimi naložbami? Predložiti stroške, koristi, tveganja in poročanje po 12 mesecih.
